invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,Revenue,Age_Group
I100072,C143773,Male,64,Technology,5,5250,Debit Card,2021-08-10 00:00:00,Metropol AVM,26250,56+
I100077,C356550,Male,46,Food & Beverage,1,5.23,Credit Card,2021-02-03 00:00:00,Emaar Square Mall,5.23,46-55
I100078,C272831,Male,46,Books,5,75.75,Credit Card,2021-07-10 00:00:00,Mall of Istanbul,378.75,46-55
I100080,C696236,Male,55,Toys,4,143.36,Credit Card,2022-04-26 00:00:00,Metropol AVM,573.44,46-55
I100082,C357288,Female,44,Souvenir,2,23.46,Cash,2021-12-31 00:00:00,Cevahir AVM,46.92,36-45
I100084,C226369,Female,68,Shoes,2,1200.34,Credit Card,2022-10-09 00:00:00,Kanyon,2400.68,56+
I100089,C123196,Female,63,Clothing,5,1500.4,Cash,2022-03-27 00:00:00,Emaar Square Mall,7502,56+
I100090,C801451,Female,27,Shoes,4,2400.68,Credit Card,2021-04-17 00:00:00,Metrocity,9602.72,26-35
I100094,C246470,Female,68,Toys,2,71.68,Cash,2021-12-18 00:00:00,Metropol AVM,143.36,56+
I100095,C608046,Male,60,Clothing,2,600.16,Cash,2021-11-23 00:00:00,Istinye Park,1200.32,56+
I100097,C673123,Female,63,Food & Beverage,4,20.92,Credit Card,2022-08-24 00:00:00,Mall of Istanbul,83.68,56+
I100098,C228071,Male,49,Clothing,5,1500.4,Cash,2021-11-16 00:00:00,Cevahir AVM,7502,46-55
I100105,C246820,Male,39,Food & Beverage,4,20.92,Debit Card,2022-04-15 00:00:00,Kanyon,83.68,36-45
I100106,C850385,Male,36,Food & Beverage,2,10.46,Credit Card,2021-09-12 00:00:00,Metropol AVM,20.92,36-45
I100108,C331773,Female,45,Books,4,60.6,Credit Card,2021-08-06 00:00:00,Cevahir AVM,242.4,36-45
I100111,C314731,Female,46,Clothing,3,900.24,Debit Card,2022-09-13 00:00:00,Metrocity,2700.72,46-55
I100113,C136435,Male,48,Clothing,1,300.08,Credit Card,2021-01-31 00:00:00,Zorlu Center,300.08,46-55
I100116,C235320,Female,60,Cosmetics,3,121.98,Cash,2022-11-18 00:00:00,Metropol AVM,365.94,56+
I100126,C103405,Male,31,Clothing,3,900.24,Credit Card,2022-03-26 00:00:00,Emaar Square Mall,2700.72,26-35
I100127,C708853,Male,38,Clothing,2,600.16,Debit Card,2021-11-16 00:00:00,Cevahir AVM,1200.32,36-45
I100128,C168282,Female,23,Clothing,3,900.24,Credit Card,2022-07-16 00:00:00,Istinye Park,2700.72,18-25
I100137,C233463,Male,35,Shoes,5,3000.85,Cash,2021-05-16 00:00:00,Mall of Istanbul,15004.25,26-35
I100138,C237364,Male,52,Clothing,2,600.16,Cash,2021-06-19 00:00:00,Mall of Istanbul,1200.32,46-55
I100142,C161659,Male,37,Clothing,4,1200.32,Debit Card,2021-08-28 00:00:00,Metropol AVM,4801.28,36-45
I100145,C153189,Female,20,Clothing,5,1500.4,Debit Card,2022-12-10 00:00:00,Kanyon,7502,18-25
I100146,C320745,Female,24,Shoes,4,2400.68,Credit Card,2022-04-25 00:00:00,Emaar Square Mall,9602.72,18-25
I100148,C200488,Male,52,Shoes,4,2400.68,Cash,2022-04-16 00:00:00,Zorlu Center,9602.72,46-55
I100149,C193896,Female,65,Food & Beverage,5,26.15,Cash,2021-11-17 00:00:00,Mall of Istanbul,130.75,56+
I100151,C315218,Male,69,Clothing,2,600.16,Cash,2021-07-23 00:00:00,Kanyon,1200.32,56+
I100152,C265676,Female,43,Shoes,5,3000.85,Credit Card,2021-02-25 00:00:00,Mall of Istanbul,15004.25,36-45
I100155,C312476,Female,30,Food & Beverage,4,20.92,Credit Card,2021-06-29 00:00:00,Metropol AVM,83.68,26-35
I100156,C462935,Female,69,Books,3,45.45,Credit Card,2021-01-25 00:00:00,Metropol AVM,136.35,56+
I100161,C262871,Female,30,Clothing,1,300.08,Cash,2021-04-11 00:00:00,Kanyon,300.08,26-35
I100168,C135319,Male,43,Shoes,4,2400.68,Cash,2021-11-15 00:00:00,Zorlu Center,9602.72,36-45
I100173,C190374,Female,69,Food & Beverage,1,5.23,Cash,2021-05-18 00:00:00,Metropol AVM,5.23,56+
I100174,C286570,Female,36,Clothing,1,300.08,Cash,2021-12-07 00:00:00,Mall of Istanbul,300.08,36-45
I100181,C123341,Female,33,Clothing,5,1500.4,Cash,2022-04-18 00:00:00,Metrocity,7502,26-35
I100184,C131276,Female,32,Cosmetics,2,81.32,Cash,2022-09-18 00:00:00,Kanyon,162.64,26-35
I100186,C222236,Male,62,Clothing,1,300.08,Debit Card,2023-01-30 00:00:00,Zorlu Center,300.08,56+
I100187,C178869,Female,41,Food & Beverage,1,5.23,Credit Card,2021-07-28 00:00:00,Metrocity,5.23,36-45
I100192,C161234,Male,57,Clothing,1,300.08,Debit Card,2021-11-17 00:00:00,Mall of Istanbul,300.08,56+
I100193,C149918,Male,34,Clothing,1,300.08,Debit Card,2022-02-26 00:00:00,Istinye Park,300.08,26-35
I100195,C322199,Female,34,Food & Beverage,5,26.15,Debit Card,2022-12-20 00:00:00,Mall of Istanbul,130.75,26-35
I100198,C136883,Female,58,Cosmetics,5,203.3,Credit Card,2021-07-18 00:00:00,Cevahir AVM,1016.5,56+
I100199,C275614,Female,31,Books,5,75.75,Cash,2022-02-25 00:00:00,Istinye Park,378.75,26-35
I100200,C948033,Male,24,Toys,4,143.36,Cash,2021-07-28 00:00:00,Metrocity,573.44,18-25
I100201,C982027,Male,57,Souvenir,5,58.65,Cash,2021-03-20 00:00:00,Istinye Park,293.25,56+
I100202,C182496,Male,45,Food & Beverage,4,20.92,Credit Card,2022-11-20 00:00:00,Kanyon,83.68,36-45
I100205,C220151,Male,32,Clothing,5,1500.4,Credit Card,2021-06-26 00:00:00,Istinye Park,7502,26-35
I100207,C452901,Male,22,Clothing,4,1200.32,Credit Card,2021-04-19 00:00:00,Metrocity,4801.28,18-25
I100211,C239527,Female,59,Clothing,2,600.16,Debit Card,2021-02-10 00:00:00,Metrocity,1200.32,56+
I100212,C282695,Female,60,Souvenir,3,35.19,Credit Card,2021-08-31 00:00:00,Kanyon,105.57,56+
I100214,C989972,Female,42,Clothing,3,900.24,Cash,2022-03-06 00:00:00,Istinye Park,2700.72,36-45
I100215,C198589,Male,27,Shoes,3,1800.51,Debit Card,2021-04-12 00:00:00,Mall of Istanbul,5401.53,26-35
I100216,C145243,Male,27,Cosmetics,1,40.66,Cash,2022-03-09 00:00:00,Mall of Istanbul,40.66,26-35
I100218,C205490,Male,37,Food & Beverage,1,5.23,Cash,2022-10-15 00:00:00,Kanyon,5.23,36-45
I100220,C122251,Male,25,Clothing,5,1500.4,Cash,2021-05-26 00:00:00,Mall of Istanbul,7502,18-25
I100223,C212702,Female,45,Shoes,5,3000.85,Credit Card,2022-11-21 00:00:00,Metrocity,15004.25,36-45
I100225,C128382,Male,44,Cosmetics,3,121.98,Credit Card,2022-10-12 00:00:00,Istinye Park,365.94,36-45
I100227,C364271,Female,67,Toys,3,107.52,Cash,2022-05-13 00:00:00,Metrocity,322.56,56+
I100228,C248381,Male,42,Clothing,2,600.16,Cash,2023-02-21 00:00:00,Mall of Istanbul,1200.32,36-45
I100229,C397160,Male,27,Cosmetics,4,162.64,Debit Card,2023-02-28 00:00:00,Mall of Istanbul,650.56,26-35
I100231,C274640,Female,67,Technology,1,1050,Debit Card,2021-07-19 00:00:00,Metropol AVM,1050,56+
I100240,C240922,Female,22,Cosmetics,3,121.98,Credit Card,2022-10-20 00:00:00,Cevahir AVM,365.94,18-25
I100243,C332855,Female,42,Clothing,1,300.08,Cash,2023-01-12 00:00:00,Kanyon,300.08,36-45
I100249,C209647,Male,40,Clothing,5,1500.4,Credit Card,2022-12-19 00:00:00,Kanyon,7502,36-45
I100251,C228482,Female,36,Souvenir,4,46.92,Cash,2022-05-29 00:00:00,Metropol AVM,187.68,36-45
I100261,C315632,Female,41,Cosmetics,2,81.32,Credit Card,2023-03-03 00:00:00,Mall of Istanbul,162.64,36-45
I100267,C299948,Female,57,Cosmetics,4,162.64,Debit Card,2022-12-11 00:00:00,Kanyon,650.56,56+
I100271,C892772,Male,37,Toys,4,143.36,Debit Card,2021-02-13 00:00:00,Metrocity,573.44,36-45
I100273,C291963,Female,67,Toys,5,179.2,Cash,2021-05-10 00:00:00,Cevahir AVM,896,56+
I100281,C711548,Male,39,Toys,1,35.84,Debit Card,2021-06-28 00:00:00,Kanyon,35.84,36-45
I100282,C836957,Male,45,Clothing,3,900.24,Cash,2022-07-30 00:00:00,Viaport Outlet,2700.72,36-45
I100284,C174674,Female,66,Clothing,2,600.16,Credit Card,2022-08-13 00:00:00,Kanyon,1200.32,56+
I100288,C435081,Female,33,Food & Beverage,3,15.69,Credit Card,2022-02-13 00:00:00,Kanyon,47.07,26-35
I100290,C118172,Male,45,Cosmetics,3,121.98,Credit Card,2021-12-24 00:00:00,Mall of Istanbul,365.94,36-45
I100291,C832260,Male,18,Clothing,5,1500.4,Debit Card,2021-08-03 00:00:00,Istinye Park,7502,<18
I100292,C721616,Female,21,Clothing,2,600.16,Cash,2022-08-16 00:00:00,Mall of Istanbul,1200.32,18-25
I100293,C991830,Female,28,Food & Beverage,3,15.69,Cash,2022-11-28 00:00:00,Kanyon,47.07,26-35
I100294,C277127,Male,52,Food & Beverage,3,15.69,Cash,2022-12-12 00:00:00,Istinye Park,47.07,46-55
I100299,C179079,Male,19,Clothing,5,1500.4,Cash,2022-09-30 00:00:00,Mall of Istanbul,7502,18-25
I100301,C553904,Female,20,Clothing,4,1200.32,Credit Card,2021-08-20 00:00:00,Mall of Istanbul,4801.28,18-25
I100307,C887007,Female,58,Clothing,3,900.24,Credit Card,2022-01-24 00:00:00,Kanyon,2700.72,56+
I100308,C104593,Male,18,Food & Beverage,1,5.23,Cash,2022-07-11 00:00:00,Mall of Istanbul,5.23,<18
I100310,C183161,Female,46,Cosmetics,4,162.64,Cash,2022-04-22 00:00:00,Mall of Istanbul,650.56,46-55
I100311,C115462,Female,55,Clothing,4,1200.32,Cash,2022-04-20 00:00:00,Zorlu Center,4801.28,46-55
I100312,C280934,Male,34,Food & Beverage,2,10.46,Credit Card,2022-10-29 00:00:00,Emaar Square Mall,20.92,26-35
I100313,C144410,Female,64,Cosmetics,4,162.64,Cash,2022-11-17 00:00:00,Metrocity,650.56,56+
I100315,C242277,Female,30,Cosmetics,3,121.98,Debit Card,2021-08-04 00:00:00,Emaar Square Mall,365.94,26-35
I100316,C248553,Male,40,Shoes,2,1200.34,Cash,2022-12-13 00:00:00,Cevahir AVM,2400.68,36-45
I100320,C152872,Female,21,Clothing,2,600.16,Cash,2022-10-10 00:00:00,Emaar Square Mall,1200.32,18-25
I100321,C113910,Female,59,Toys,2,71.68,Credit Card,2022-05-23 00:00:00,Forum Istanbul,143.36,56+
I100323,C107529,Male,66,Cosmetics,3,121.98,Debit Card,2022-05-19 00:00:00,Kanyon,365.94,56+
I100324,C288166,Female,61,Clothing,5,1500.4,Debit Card,2022-12-30 00:00:00,Metropol AVM,7502,56+
I100328,C152052,Female,69,Food & Beverage,3,15.69,Credit Card,2022-04-22 00:00:00,Kanyon,47.07,56+
I100330,C453598,Male,26,Cosmetics,5,203.3,Credit Card,2022-07-15 00:00:00,Metrocity,1016.5,26-35
I100336,C202040,Female,39,Food & Beverage,1,5.23,Cash,2022-08-01 00:00:00,Metropol AVM,5.23,36-45
I100338,C779694,Male,62,Food & Beverage,2,10.46,Cash,2022-06-29 00:00:00,Viaport Outlet,20.92,56+
I100354,C135028,Male,22,Technology,1,1050,Credit Card,2021-08-24 00:00:00,Metropol AVM,1050,18-25
I100355,C189409,Female,57,Clothing,5,1500.4,Cash,2022-10-25 00:00:00,Kanyon,7502,56+
I100357,C494452,Female,23,Cosmetics,3,121.98,Debit Card,2021-05-02 00:00:00,Forum Istanbul,365.94,18-25
I100358,C339237,Female,21,Cosmetics,5,203.3,Cash,2021-09-22 00:00:00,Metrocity,1016.5,18-25
I100361,C224357,Female,26,Food & Beverage,5,26.15,Cash,2021-06-29 00:00:00,Viaport Outlet,130.75,26-35
I100364,C231500,Female,54,Clothing,2,600.16,Debit Card,2021-04-15 00:00:00,Zorlu Center,1200.32,46-55
I100365,C624809,Female,47,Clothing,5,1500.4,Credit Card,2021-05-19 00:00:00,Emaar Square Mall,7502,46-55
I100366,C296054,Female,69,Clothing,1,300.08,Debit Card,2021-07-05 00:00:00,Cevahir AVM,300.08,56+
I100367,C268495,Male,61,Food & Beverage,5,26.15,Cash,2021-11-22 00:00:00,Kanyon,130.75,56+
I100368,C168429,Female,63,Food & Beverage,1,5.23,Credit Card,2022-01-17 00:00:00,Kanyon,5.23,56+
I100377,C272529,Female,62,Toys,3,107.52,Debit Card,2021-12-23 00:00:00,Metrocity,322.56,56+
I100381,C243648,Female,36,Clothing,2,600.16,Cash,2022-12-02 00:00:00,Forum Istanbul,1200.32,36-45
I100387,C234074,Female,21,Food & Beverage,2,10.46,Cash,2021-05-16 00:00:00,Mall of Istanbul,20.92,18-25
I100397,C262466,Female,34,Cosmetics,1,40.66,Debit Card,2021-09-24 00:00:00,Forum Istanbul,40.66,26-35
I100399,C250107,Female,46,Food & Beverage,5,26.15,Cash,2022-02-01 00:00:00,Mall of Istanbul,130.75,46-55
I100400,C271625,Female,62,Shoes,4,2400.68,Credit Card,2021-01-16 00:00:00,Metrocity,9602.72,56+
I100401,C291610,Female,34,Shoes,3,1800.51,Credit Card,2023-03-06 00:00:00,Cevahir AVM,5401.53,26-35
I100404,C116794,Female,64,Cosmetics,1,40.66,Credit Card,2021-11-03 00:00:00,Mall of Istanbul,40.66,56+
I100406,C146640,Male,62,Cosmetics,3,121.98,Credit Card,2021-06-16 00:00:00,Kanyon,365.94,56+
I100408,C128638,Female,37,Toys,3,107.52,Cash,2021-08-09 00:00:00,Kanyon,322.56,36-45
I100412,C313809,Female,35,Food & Beverage,2,10.46,Credit Card,2022-09-18 00:00:00,Metrocity,20.92,26-35
I100414,C233655,Male,56,Souvenir,2,23.46,Debit Card,2023-01-10 00:00:00,Mall of Istanbul,46.92,56+
I100417,C310007,Female,46,Clothing,3,900.24,Cash,2022-07-17 00:00:00,Mall of Istanbul,2700.72,46-55
I100419,C937473,Male,53,Souvenir,2,23.46,Credit Card,2022-04-21 00:00:00,Mall of Istanbul,46.92,46-55
I100420,C261035,Female,69,Cosmetics,3,121.98,Credit Card,2021-07-06 00:00:00,Viaport Outlet,365.94,56+
I100423,C664680,Female,33,Food & Beverage,4,20.92,Debit Card,2021-04-22 00:00:00,Metrocity,83.68,26-35
I100425,C386315,Female,52,Cosmetics,1,40.66,Cash,2021-08-29 00:00:00,Metropol AVM,40.66,46-55
I100426,C133701,Female,47,Cosmetics,3,121.98,Cash,2022-12-24 00:00:00,Istinye Park,365.94,46-55
I100434,C295965,Male,61,Cosmetics,4,162.64,Cash,2021-07-14 00:00:00,Mall of Istanbul,650.56,56+
I100439,C224698,Male,26,Shoes,5,3000.85,Credit Card,2023-03-02 00:00:00,Metropol AVM,15004.25,26-35
I100441,C202089,Female,43,Cosmetics,3,121.98,Cash,2022-09-09 00:00:00,Istinye Park,365.94,36-45
I100443,C826051,Female,30,Souvenir,4,46.92,Debit Card,2021-04-16 00:00:00,Istinye Park,187.68,26-35
I100445,C307576,Female,18,Clothing,1,300.08,Debit Card,2021-11-02 00:00:00,Istinye Park,300.08,<18
I100454,C851133,Female,40,Toys,3,107.52,Debit Card,2023-02-24 00:00:00,Istinye Park,322.56,36-45
I100455,C191387,Female,56,Souvenir,5,58.65,Cash,2022-09-04 00:00:00,Metropol AVM,293.25,56+
I100458,C150447,Female,19,Toys,2,71.68,Credit Card,2022-04-12 00:00:00,Metrocity,143.36,18-25
I100459,C194835,Female,37,Clothing,3,900.24,Debit Card,2021-09-18 00:00:00,Metrocity,2700.72,36-45
I100462,C363980,Female,46,Souvenir,5,58.65,Cash,2021-01-04 00:00:00,Metropol AVM,293.25,46-55
I100464,C129826,Male,44,Clothing,2,600.16,Debit Card,2021-05-01 00:00:00,Mall of Istanbul,1200.32,36-45
I100465,C211946,Female,57,Clothing,1,300.08,Cash,2022-01-14 00:00:00,Mall of Istanbul,300.08,56+
I100466,C235798,Male,30,Clothing,4,1200.32,Debit Card,2021-09-30 00:00:00,Forum Istanbul,4801.28,26-35
I100470,C219411,Female,32,Shoes,1,600.17,Credit Card,2021-11-08 00:00:00,Istinye Park,600.17,26-35
I100472,C176862,Male,43,Cosmetics,1,40.66,Cash,2021-09-01 00:00:00,Mall of Istanbul,40.66,36-45
I100473,C607315,Female,51,Books,5,75.75,Debit Card,2021-01-01 00:00:00,Mall of Istanbul,378.75,46-55
I100484,C135857,Male,50,Clothing,1,300.08,Debit Card,2021-01-26 00:00:00,Mall of Istanbul,300.08,46-55
I100487,C213360,Female,22,Cosmetics,4,162.64,Cash,2021-02-19 00:00:00,Kanyon,650.56,18-25
I100491,C212593,Male,57,Shoes,4,2400.68,Credit Card,2021-03-29 00:00:00,Kanyon,9602.72,56+
I100494,C227575,Male,56,Toys,3,107.52,Debit Card,2021-12-19 00:00:00,Metrocity,322.56,56+
I100496,C174558,Female,51,Clothing,2,600.16,Cash,2021-11-26 00:00:00,Metrocity,1200.32,46-55
I100498,C498727,Female,63,Technology,5,5250,Cash,2023-02-03 00:00:00,Cevahir AVM,26250,56+
I100499,C114407,Male,45,Clothing,5,1500.4,Cash,2021-05-09 00:00:00,Cevahir AVM,7502,36-45
I100501,C338282,Female,18,Technology,1,1050,Debit Card,2021-08-31 00:00:00,Metrocity,1050,<18
I100502,C238358,Male,28,Toys,1,35.84,Credit Card,2021-10-10 00:00:00,Mall of Istanbul,35.84,26-35
I100504,C703075,Female,59,Shoes,2,1200.34,Cash,2021-03-31 00:00:00,Mall of Istanbul,2400.68,56+
I100508,C249896,Female,20,Clothing,3,900.24,Debit Card,2021-03-24 00:00:00,Viaport Outlet,2700.72,18-25
I100512,C208841,Male,36,Food & Beverage,3,15.69,Debit Card,2022-04-13 00:00:00,Kanyon,47.07,36-45
I100519,C233898,Male,49,Clothing,4,1200.32,Credit Card,2021-01-25 00:00:00,Kanyon,4801.28,46-55
I100522,C100218,Male,26,Clothing,5,1500.4,Cash,2021-11-06 00:00:00,Kanyon,7502,26-35
I100526,C356129,Male,35,Cosmetics,3,121.98,Debit Card,2022-08-17 00:00:00,Mall of Istanbul,365.94,26-35
I100527,C274542,Male,54,Clothing,1,300.08,Cash,2022-06-26 00:00:00,Metrocity,300.08,46-55
I100537,C392460,Female,62,Souvenir,3,35.19,Debit Card,2022-04-05 00:00:00,Kanyon,105.57,56+
I100538,C312561,Female,65,Clothing,3,900.24,Cash,2022-01-19 00:00:00,Istinye Park,2700.72,56+
I100540,C641482,Female,35,Clothing,2,600.16,Credit Card,2022-06-14 00:00:00,Metrocity,1200.32,26-35
I100541,C155234,Female,65,Souvenir,2,23.46,Cash,2021-05-10 00:00:00,Istinye Park,46.92,56+
I100542,C273404,Male,23,Souvenir,3,35.19,Credit Card,2021-06-05 00:00:00,Istinye Park,105.57,18-25
I100543,C193964,Female,52,Food & Beverage,2,10.46,Cash,2022-03-05 00:00:00,Mall of Istanbul,20.92,46-55
I100547,C173500,Male,49,Food & Beverage,1,5.23,Credit Card,2021-08-07 00:00:00,Mall of Istanbul,5.23,46-55
I100550,C123577,Female,38,Souvenir,5,58.65,Cash,2022-11-22 00:00:00,Cevahir AVM,293.25,36-45
I100552,C213606,Female,30,Food & Beverage,3,15.69,Credit Card,2021-11-09 00:00:00,Metropol AVM,47.07,26-35
I100555,C701082,Female,44,Clothing,3,900.24,Cash,2022-09-10 00:00:00,Kanyon,2700.72,36-45
I100558,C209906,Male,27,Cosmetics,3,121.98,Credit Card,2021-05-25 00:00:00,Istinye Park,365.94,26-35
I100561,C255643,Female,26,Clothing,4,1200.32,Debit Card,2021-08-29 00:00:00,Cevahir AVM,4801.28,26-35
I100565,C833577,Male,42,Clothing,5,1500.4,Cash,2022-09-17 00:00:00,Metropol AVM,7502,36-45
I100566,C266257,Male,21,Clothing,2,600.16,Cash,2022-10-10 00:00:00,Metrocity,1200.32,18-25
I100567,C272165,Male,18,Toys,5,179.2,Credit Card,2021-01-03 00:00:00,Mall of Istanbul,896,<18
I100571,C668914,Male,66,Clothing,1,300.08,Debit Card,2023-01-07 00:00:00,Zorlu Center,300.08,56+
I100572,C245347,Female,67,Clothing,1,300.08,Cash,2021-07-30 00:00:00,Istinye Park,300.08,56+
I100578,C108143,Female,67,Shoes,4,2400.68,Cash,2023-02-28 00:00:00,Zorlu Center,9602.72,56+
I100579,C260481,Female,36,Food & Beverage,3,15.69,Credit Card,2022-09-24 00:00:00,Kanyon,47.07,36-45
I100580,C131158,Female,68,Toys,3,107.52,Cash,2022-09-14 00:00:00,Cevahir AVM,322.56,56+
I100582,C638859,Female,66,Clothing,2,600.16,Cash,2021-11-02 00:00:00,Istinye Park,1200.32,56+
I100586,C580838,Female,62,Clothing,2,600.16,Credit Card,2022-03-18 00:00:00,Istinye Park,1200.32,56+
I100591,C881158,Male,23,Toys,1,35.84,Credit Card,2022-02-20 00:00:00,Metrocity,35.84,18-25
I100593,C240318,Male,23,Technology,2,2100,Cash,2021-06-11 00:00:00,Mall of Istanbul,4200,18-25
I100599,C114161,Male,27,Shoes,2,1200.34,Credit Card,2021-11-24 00:00:00,Mall of Istanbul,2400.68,26-35
I100601,C180415,Male,49,Toys,4,143.36,Cash,2022-06-09 00:00:00,Mall of Istanbul,573.44,46-55
I100607,C315778,Male,60,Clothing,5,1500.4,Debit Card,2021-11-27 00:00:00,Kanyon,7502,56+
I100610,C122598,Male,64,Books,5,75.75,Debit Card,2022-04-06 00:00:00,Mall of Istanbul,378.75,56+
I100611,C234086,Male,55,Toys,3,107.52,Cash,2022-03-21 00:00:00,Metropol AVM,322.56,46-55
I100614,C261517,Female,41,Cosmetics,5,203.3,Cash,2021-07-11 00:00:00,Cevahir AVM,1016.5,36-45
I100615,C197426,Female,57,Clothing,5,1500.4,Cash,2022-05-12 00:00:00,Mall of Istanbul,7502,56+
I100617,C745941,Male,56,Books,5,75.75,Cash,2022-07-06 00:00:00,Zorlu Center,378.75,56+
I100618,C911820,Male,23,Books,2,30.3,Credit Card,2021-03-04 00:00:00,Metrocity,60.6,18-25
I100622,C306817,Female,45,Clothing,3,900.24,Credit Card,2023-01-18 00:00:00,Kanyon,2700.72,36-45
I100624,C552809,Female,26,Clothing,5,1500.4,Debit Card,2021-03-05 00:00:00,Metrocity,7502,26-35
I100627,C132581,Male,54,Books,3,45.45,Debit Card,2022-12-10 00:00:00,Metrocity,136.35,46-55
I100628,C135129,Male,25,Clothing,1,300.08,Cash,2022-04-09 00:00:00,Viaport Outlet,300.08,18-25
I100630,C753708,Female,66,Food & Beverage,4,20.92,Debit Card,2022-04-02 00:00:00,Kanyon,83.68,56+
I100634,C461631,Female,22,Clothing,5,1500.4,Cash,2022-05-23 00:00:00,Kanyon,7502,18-25
I100635,C289537,Female,69,Clothing,4,1200.32,Debit Card,2021-06-03 00:00:00,Metropol AVM,4801.28,56+
I100639,C231484,Male,65,Technology,4,4200,Credit Card,2022-05-02 00:00:00,Metrocity,16800,56+
I100651,C180588,Female,41,Cosmetics,2,81.32,Credit Card,2021-09-15 00:00:00,Metropol AVM,162.64,36-45
I100652,C214732,Female,67,Clothing,2,600.16,Credit Card,2023-01-17 00:00:00,Cevahir AVM,1200.32,56+
I100656,C337441,Female,54,Cosmetics,2,81.32,Cash,2023-02-18 00:00:00,Metropol AVM,162.64,46-55
I100659,C562791,Male,27,Souvenir,3,35.19,Cash,2021-07-14 00:00:00,Emaar Square Mall,105.57,26-35
I100663,C322131,Female,41,Food & Beverage,5,26.15,Cash,2021-09-26 00:00:00,Mall of Istanbul,130.75,36-45
I100664,C603641,Male,62,Clothing,2,600.16,Debit Card,2021-10-19 00:00:00,Mall of Istanbul,1200.32,56+
I100666,C996052,Female,62,Books,2,30.3,Cash,2022-04-02 00:00:00,Metrocity,60.6,56+
I100671,C284324,Male,28,Clothing,1,300.08,Cash,2021-05-03 00:00:00,Metrocity,300.08,26-35
I100682,C134970,Male,58,Toys,4,143.36,Cash,2021-03-22 00:00:00,Istinye Park,573.44,56+
I100684,C175424,Male,30,Cosmetics,5,203.3,Credit Card,2021-08-11 00:00:00,Emaar Square Mall,1016.5,26-35
I100685,C263059,Male,60,Souvenir,2,23.46,Debit Card,2021-05-24 00:00:00,Forum Istanbul,46.92,56+
I100691,C116434,Female,35,Clothing,2,600.16,Cash,2022-04-26 00:00:00,Viaport Outlet,1200.32,26-35
I100694,C318405,Female,62,Food & Beverage,4,20.92,Cash,2022-11-27 00:00:00,Kanyon,83.68,56+
I100696,C131827,Male,44,Clothing,2,600.16,Cash,2021-07-12 00:00:00,Metrocity,1200.32,36-45
I100697,C159194,Female,31,Clothing,4,1200.32,Cash,2021-12-19 00:00:00,Kanyon,4801.28,26-35
I100699,C844692,Male,44,Books,1,15.15,Credit Card,2021-03-07 00:00:00,Mall of Istanbul,15.15,36-45
I100700,C831975,Female,60,Clothing,4,1200.32,Credit Card,2021-10-24 00:00:00,Viaport Outlet,4801.28,56+
I100703,C263996,Male,36,Clothing,2,600.16,Cash,2022-08-08 00:00:00,Metrocity,1200.32,36-45
I100704,C864065,Male,24,Technology,2,2100,Debit Card,2021-04-30 00:00:00,Mall of Istanbul,4200,18-25
I100709,C156430,Female,40,Clothing,3,900.24,Debit Card,2021-08-18 00:00:00,Mall of Istanbul,2700.72,36-45
I100719,C193403,Male,69,Toys,2,71.68,Cash,2022-07-17 00:00:00,Zorlu Center,143.36,56+
